prod_key,qty,local_acg,local_disc
5364724,21,7.14,5.04
5364915,27.6,5113.032,4801.668
5367346,6,230.16,208.8
5367372,15,225,175.5
5367373,9,144,112.32
5367460,9,42.93,40.05
5367601,15,729.3,592.05
5367710,0.6426,47.94428571,39.96642857
5367750,25.9999,788.56,740.6
5367751,79,1619.08,1619.08
5367816,12,21,16.68
5367819,52,1111.24,1111.24
5368102,15,318.75,318.75
5368109,4.5,146.34,121.83
5368137,213,956.94,717.69
5368287,4.7142,165.99,146.19
5368399,3,90,70.2
5369056,25,337.2,283
5369100,3,210.12,161.61
5369129,36,861.9,786.33
5369141,9,315.9,253.74
5369167,6,170.34,91.98
5369173,3,82.2,73.98
5369174,6,172.8,172.8
5369357,12,519.6,488.04
5369494,2.22,52.7028,52.7028
5369654,9,1097.19,1030.59
5369730,9,243,189.54
5369732,6,111.24,111.24
5369895,12,167.28,167.28
5369908,9,114.33,110.22
5369990,3,31.41,31.41
5370542,6,145.8,145.8
5370550,3,70.2,70.2
5370642,7.5,151.08,144.09
5370664,3,154.26,122.43
5370775,3,223.74,196.89
5370865,3,165.57,140.73
5370913,13.5,253.53,253.53
5370961,4.7142,65.48142857,59.44714286
5371206,6,78,60.84
5371237,6,225,198.69
5371242,9,286.2,286.2
5371367,9,416.25,416.25
5371451,6,616.2675,548.1225
5371453,6.4,95.41,87.374
5371456,9,157.5,157.5
5371709,12,70.68,70.68
5371710,6,77.64,77.64
5371712,4.9998,247.28,211.31
5371764,6,25.62,25.62
5371893,9,481.95,444.42
5371895,9,504.9,465.66
5371989,40.9998,1685.15,1605.65
5372116,3,92.1,84.72
5372140,6,28.98,26.28
5372157,12,154.5,146.82
6421188,6,243.75,231.18
6421204,210,180.6,180.6
6421501,6,138,107.64
6421581,4.7142,70.05428571,61.05
6421768,45,120.15,120.15
6421802,9,62.73,53.91
6421825,4.5,72.615,62.7
6421829,177,1260.24,424.8
6421836,12,1014.48,791.04
6421838,9,514.2,420.36
6421960,14,702.21,620.58
6422071,12,84,65.52
6422073,3,21,16.38
6422074,3,24,18.72
6422283,12,104.76,104.76
6422426,1.8,63.414,58.968
6422471,55.5999,459.688,134.596
6422546,3,89.43,89.43
6422561,16.5,374.76,346.59
6422575,9,425.7,399.78
6422661,6,40.02,30.54
6422675,9,139.32,134.64
6423088,10,91.7,75.1
6423125,6,59.22,52.47
6423127,6,135.84,101.46
6423461,6,84,57.72
7472287,3,68.94,55.8
7472291,21.9999,166.59,165.05
7472295,5.5,194.79,187.005
7472482,6,66.66,60.3
7472549,6,90,70.2
7472560,3,120.6,120.6
7472564,3,60,51.84
7472570,6,72.27,66.96
7472571,3,39,33.69
7472580,628.5,8061.465,8061.465
7472606,12,282.42,262.65
7473239,3,451.08,411.3
7473240,6,933.18,850.86
7473370,9,370.26,370.26
7473377,1.5,75.9,53.55
7473378,3,125.43,88.5
7473550,9,349.47,272.61
7473686,3,3,3
7473753,24,1079.76,1079.76
7473828,12,357.36,357.36
7473907,2.4998,195.57,193.84
7474025,0.9999,29.67,26.69
7474067,15,567,567
7474093,3,230.85,230.85
7474095,3,209.49,209.49
7474199,17.6428,216.8328571,206.1828571
7474201,30.8571,672.7542857,626.4342857
7474209,3,30.72,30.72
7474231,30,150,4.5
7474244,6,1569.12,1473.54
7474246,1.5,54,46.62
7474252,15,507.6,215.55
7474286,41.95,867.1065,867.1065
7474417,3,62.49,43.53
7474429,21.9999,471.9,316.58
7474449,51,551.37,477.03
7474713,30,877.92,814.08
7474714,9,544.32,544.32
7474848,37.5,481.44,471.09
7474850,10,68.3,68.3
7475003,0.4998,26.03,14.755
7475021,18,1258.02,1077.72
7475035,6,113.82,73.02
7475178,3,41.25,29.52
7475182,9,45.09,45.09
7475183,6,30.06,30.06
7475329,18,1111.5,1111.5
7475485,6,18.96,12.72
7475657,8.7855,91.21071429,86.39142857
7475720,3,229.5,211.65
7475722,3,149.94,138.27
7475929,15,817.5,741.6
7476275,9,461.49,461.49
7476398,9,42.57,28.17
7476414,6,210.6,210.6
7476416,18,600.21,600.21
7476467,3,38.16,38.16
7476748,54,225.72,225.72
7476844,4.9998,419.84,401.26
7476951,11.5713,250.29,237.7928571
7476988,3,131.58,121.35
7477090,9,244.62,185.31
7477165,103.5,647.91,647.91
7477167,76.4999,909.27,888.57
7477204,3,21,16.38
7477210,3,60,46.8
7477218,11,1374.89,1168.64
7477219,9,913.23,782.34
7477235,15,704.7,598.95
7477241,3,88.44,67.77
7477244,54,515.7,453.3
7477261,6,89.82,70.44
7477265,3,153.12,153.12
7477311,9,499.74,389.82
7477347,3,1086.51,999.15
7477405,33,583.11,211.86
7477406,16.9998,410.72,188.87
7477550,26.8998,427.71,361.805
7477773,14.2498,139.45,130.81
7477774,13.9285,218.5392857,218.5392857
7477816,6,220.8,220.8
7477817,9,362.88,293.13
7477821,9,423.9,330.66
7477846,6,200.82,200.82
7477848,5,188.05,188.05
7478062,98,3724,111.72
7478232,9,549,422.73
